INCID,OGDINCID,CALLFROM,CALLDATE,FAILDATE,EASTING,NORTHING,LOCATION,SLOPENUM,FEATTYPE,SCALE,FACAFF,CONSEC,CONSEC - DEATHNO,CONSEC - INJURYNO,CONSEC - EVACUATED,CONSEC - ROADCLOSED
MW99/8/216,-,DO,03/09/1999,26/08/1999,836553,825255,"behind Man Sam House, King Tin Court, Tai Wai, Sha Tin",7SW-D/C235,Soil Cut,3,Open space,-,-,-,-,-
MW99/8/215,-,RSD,31/08/1999,28/08/1999,833010,837510,"1993 Urn Burial Ground Wo Hop Shek Cemetery, Fanling",3SW-C/DT20,Disturbed Terrain,12,Other (urn graves),-,-,-,-,-
MW99/8/214,-,RSD,31/08/1999,24/08/1999,832450,837295,"1983 Urn Burial Ground Wo Hop Shek Cemetery, Fanling ",3SW-C/C135,Soil Cut,40,Other (urn graves),-,-,-,-,-
MW99/8/213,-,RSD,31/08/1999,24/08/1999,832670,837140,"1973 Urn Burial Ground Wo Hop Shek Cemetery, Fanling",3SW-C/C727,Soil Cut,4,Other (urn graves),-,-,-,-,-
MW99/8/212,-,RSD,31/08/1999,24/08/1999,832510,837170,"1968 Urn Burial Ground Wo Hop Shek Cemetery, Fanling",3SW-C/C664,Soil Cut,15,Other (urn graves),-,-,-,-,-
MW99/8/211,-,Public,06/09/1999,23/08/1999,807827,809206,"Natural slope at about 50 m from Mok Law Shui Wah School, Shek Pik, Tung Wan, Lantau Island",-,Natural Hillside,50,Other (slope drainage),-,-,-,-,-
MW99/8/209,-,WSD,30/08/1999,23/08/1999,823783,825500,Trail from Sham Tseng Kau Tsuen to Tai Lam Country Park,6SE-C/C188,Soil Cut,175,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/208,-,WSD,30/08/1999,23/08/1999,823840,825510,Trail from Sham Tseng Kau Tsuen to Tai Lam Country Park,6SE-C/C188,Soil Cut,60,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/206,-,DO,07/09/1999,23/08/1999,822161,815927,"No. 12B 5th Street Wai Tsai Sun Tsuen, Peng Chau ",10SW-B/C90,Soil Cut,1,Other (license structure),-,-,-,-,-
MW99/8/205,-,DO,02/09/1999,23/08/1999,822201,815803,No. 28 Nam Wan San Tsuen,10SW-B/C93,Soil Cut,1,Other (license structure),-,-,-,-,-
MW99/8/204,-,DO,02/09/1999,23/08/1999,822047,816033,"No.12 Ting Kwai Fong, Peng Chau",10SW-B/C85,Soil Cut,25,Squatter,-,-,-,-,-
MW99/8/203,-,HyD,03/09/1999,-,822785,824830,"Yuen Tun Village, Tsing Lung Tau",6SE-C/C65,Fill Slope,1,Open space,-,-,-,-,-
MW99/8/202,-,HyD,02/09/1999,23/08/1999,825560,825500,Slope adjacent fill embankment near Ting Kau Bridge/Tuen Mun Road interchange,-,Soil Cut,5,Other (slope drainage),-,-,-,-,-
MW99/8/201,-,HyD,27/08/1999,23/08/1999,823012,833995,Au Tau Roundabout,6NE-A/C30,Soil Cut,30,Pesestrian pavement,-,-,-,-,-
MW99/8/200,-,DO,25/08/1999,-,830385,826975,"Shing Mun Catchwater above Tai Wo Village, Tsuen Wan",7SW-C/C563,Soil Cut,8,Catchwater,-,-,-,-,-
MW99/8/20,-,BD,24/08/1999,24/08/1999,829571,809901,"Behind 65 Po Wah Yuen, Lamma Island",14NE-B/C7,Soil Cut,5,Other (building lot),-,-,-,-,-
MW99/8/2,-,HD,12/08/1999,11/08/1999,835845,824187,Lion rock tunnel administration area c near second tunnel,7SW-D/C541,Soil/Rock Cut,15,Pesestrian pavement,-,-,-,-,-
MW99/8/197,-,ArchSD,03/09/1999,23/08/1999,828970,827485,"slope adjacent to Tso Kung Tam Outdoor Recreation Centre, Tsuen Wan",6SE-B/C318,Soil Cut,10,Pesestrian pavement,-,-,-,-,-
MW99/8/196,-,Public,31/08/1999,23/08/1999,819898,815801,"Trappist Haven Monastry, Lantau Island",10SW-B/CR298,Soil Cut,3,Minor footpath,-,-,-,-,-
MW99/8/195,-,DO,24/08/1999,23/08/1999,817957,831910,"Squatter no. TKT/799 & 800 Near Ying Yin Primary School, Tan Kwai Tsuen ",6NW-C/C85,Soil/Rock Cut,5,Squatter,-,-,-,-,-
MW99/8/194,-,ETC,25/08/1999,22/08/1999,818285,825145,"10, Tsing Tai Road, MS17 Castle Peak Road",6SW-C/C739,Soil Cut,6,Other (electric post),-,-,-,-,-
MW99/8/193,-,ETC,24/08/1999,-,822885,824863,Yuen Tun Tsuen near Tsing Lung Tan Tsuen,6SE-C/C548,Soil Cut,12,Other (non-domestic structure),-,-,-,-,-
MW99/8/192,-,HyD,26/08/1999,23/08/1999,823085,831325,"No. 85 Shung Shan San Tsuen, Shap Pat Heung, Yuen Long",-,Natural Hillside,20,Squatter,-,-,-,-,-
MW99/8/191,-,RSD,31/08/1999,28/08/1999,830050,843340,"1958-1961 Urn Burial Ground, Sandy Ridge Cemetery, Lo Wu",3NW-C/C436,Soil Cut,120,Other (urn graves),-,-,-,-,-
MW99/8/190,-,DO,01/09/1999,23/08/1999,832973,838169,"No. 88E Wo Hop Shek Village, Sheung Shui",-,Soil Cut,5,Squatter,-,-,-,-,-
MW99/8/19,-,BD,24/08/1999,24/08/1999,829350,809903,"Behind 63 Po Wah Yuen, Lamma Island",14NE-B/C7,Others,10,Other (building lot),-,-,-,-,-
MW99/8/187,-,ETC,23/08/1999,-,806305,812553,"16 Luk Wu Village, Upper Keung Shan Road, Lantau Island",9SW-D/CR66,Soil Cut,75,Other (building lot),-,-,-,-,-
MW99/8/186,-,LIC,02/09/1999,-,823799,825899,A natural slope near Sham Tseng Settlement Basin,-,Natural Hillside,100,Other (stream course),-,-,-,-,-
MW99/8/185,-,Public,31/08/1999,23/08/1999,825610,825480,"Slope opposite Vista Del Mar, Ting Kau, Tsuen Wan",6SE-C/C459,Soil Cut,30,Open space,-,-,-,-,-
MW99/8/184,-,Public,31/08/1999,23/08/1999,825610,825450,"Slope opposite Vista Del Mar, Ting Kau, Tsuen Wan",6SE-C/DT25,Disturbed Terrain,500,Other (stream course),-,-,-,-,-
MW99/8/183,-,Public,31/08/1999,23/08/1999,825575,825355,"Access road at Vista Del Mar, Ting Kau, Tsuen Wan",6SE-C/F40,Fill Slope,30,Access road,-,-,-,-,-
MW99/8/182,-,HyD,02/09/1999,23/08/1999,806953,812642,"Sham Wat Road Chainage 11+00, Lantau Island",9SW-D/C50,Soil Cut,15,Road,-,-,-,-,-
MW99/8/181,-,HyD,02/09/1999,23/08/1999,806917,812718,"Sham Wat Road Chainage 11+50, Lantau Island",9SW-D/C49,Soil Cut,40,Road,-,-,-,-,-
MW99/8/180,-,HyD,02/09/1999,23/08/1999,806802,813008,"Sham Wat Road Chainage 15+50, Lantau Island",9SW-D/C47,Soil Cut,8,Road,-,-,-,-,-
MW99/8/18,-,Public,23/08/1999,23/08/1999,824892,826165,Tai Lam Tunnel near Ting Kau Entrance,6SE-C/DT127,Disturbed Terrain,100,Other (slope drainage),-,-,-,-,-
MW99/8/179,-,HyD,02/09/1999,23/08/1999,806690,813109,"Sham Wat Road Chainage 17+00, Lantau Island",9SW-D/C42,Soil Cut,8,Road,-,-,-,-,-
MW99/8/178B,-,CSD,23/08/1999,23/08/1999,810669,809733,"Tong Fuk Centre football field, Lantau Island",13NE-A/C34,Soil Cut,1,Open space,-,-,-,-,-
MW99/8/178A,-,CSD,23/08/1999,23/08/1999,810634,809749,"Tong Fuk Centre football field, Lantau Island",13NE-A/C34,Soil Cut,25,Open space,-,-,-,-,-
MW99/8/177,-,CSD,23/08/1999,23/08/1999,810502,809890,"Ma Po Ping Prison, football field, Lantau Island",13NE-A/C278,Soil Cut,20,Open space,-,-,-,-,-
MW99/8/176,-,ArchSD,01/09/1999,23/08/1999,822118,812470,"Hei Ling Chau Road, Hei Ling Chau",-,Natural Hillside,10,Minor footpath,-,-,-,-,-
MW99/8/175,-,ArchSD,01/09/1999,29/08/1999,821905,813113,"Hei Ling Chau Road, Hei Ling Chau",10SW-D/C75,Soil Cut,50,Access road,-,-,-,-,-
MW99/8/174B,-,DO,01/09/1999,23/08/1999,820980,808460,"North of Tung Tai San Tsuen, Cheung Chau",-,Natural Hillside,Minor,Open space,-,-,-,-,-
MW99/8/174A,-,DO,01/09/1999,23/08/1999,821044,808475,"North of Tung Tai San Tsuen, Cheung Chau",-,Natural Hillside,3500,Open space,-,-,-,-,-
MW99/8/173,-,Public,31/08/1999,23/08/1999,821230,807422,"Cheung Chau Public School, School Road, Cheung Chau",14NW-D/CR225,Soil Cut,5,Other (playground),-,-,-,-,-
MW99/8/171,-,DO,30/08/1999,-,818405,826172,"no. 38 Tai Lam Tsuen, So Kwun Wat, Tuen Mun",6SW-C/C490,Soil Cut,5,Squatter,-,-,-,-,-
MW99/8/170,-,HyD,31/08/1999,-,823390,825223,Tuen Mun Road near Tsing Lung Tau,6SE-C/C37,Soil Cut,5,Road,-,-,-,-,-
MW99/8/17,-,ETC,23/08/1999,23/08/1999,831285,825885,"46 -48 Hoi Pai San Tsuen, Kwok Shui Road, Tsuen Wan",7SW-C/C263,Soil/Rock Cut,10,Open space,-,-,-,-,-
MW99/8/169,-,Public,27/08/1999,23/08/1999,831894,825881,"House no. 274 of Yau Ma Hom Village, Kwai Chung",7SW-C/C1114,Soil Cut,0.5,Other (open carpark),-,-,-,-,-
MW99/8/168,-,Public,23/08/1999,23/08/1999,818837,818581,"Natural hillside behind Greenwood Court, Discovery Bay",-,Natural Hillside,10,Nil,-,-,-,-,-
MW99/8/167,-,HyD,31/08/1999,28/08/1999,828530,823200,"Ching Wah Court, Tsing Yi",10NE-B/C199,Soil/Rock Cut,10,Pesestrian pavement,-,-,-,-,-
MW99/8/165,-,DO,01/09/1999,23/08/1999,824457,825706,"Pedestrian pavement at Tsing Fai Tong New Village, Sham Tseng",-,Natural Hillside,2,Pesestrian pavement,-,-,-,-,-
MW99/8/164,-,DO,01/09/1999,23/08/1999,824441,825745,"67 Tsing Fai Tong New Village, Sham Tseng",6SE-C/C309,Soil Cut,1,Open space,-,-,-,-,-
MW99/8/162,-,DO,30/08/1999,24/08/1999,818674,814609,"Footpath from Tung Wan Tau to Man Kok Tsui, Mui Wo, Lantau Island",-,Natural Hillside,450,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/160,-,BD,25/08/1999,24/08/1999,819975,816680,Lim Shu Wan House 7A & 7B ,10SW-B/C278;10SW-B/C277,Soil Cut,40,Squatter,-,-,-,-,-
MW99/8/16,-,ETC,23/08/1999,23/08/1999,824304,825800,No. 38 Sham Tseng San Tsuen,-,Natural Hillside,600,Squatter,1 person killed; 13 person injured,1,13,-,-
MW99/8/159,-,DO,23/08/1999,22/08/1999,828048,825643,"Yau Kam Tau Village Po Fung Road, Tsuen Wan",6SE-D/C66,Soil Cut,2,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/158,-,Public,24/08/1999,23/08/1999,819367,817160,About 200m west to the junction of Park Vale Drive & Discovery Valley Road,-,Natural Hillside,80,Other (stream course),-,-,-,-,-
MW99/8/157,-,BD,31/08/1999,23/08/1999,820588,817461,"Next to Blossom Court, Discovery Bay, Lantau Island",10SW-B/C141,Soil Cut,10,Building,-,-,-,-,-
MW99/8/156,-,DLO,27/08/1999,23/08/1999,820412,807144,"Footpath to Round Table Third Village, Cheung Chau",14NW-D/DT26,Disturbed Terrain,200,Minor footpath,-,-,-,-,-
MW99/8/155,-,Public,25/08/1999,25/08/1999,831620,842800,"Access road to house no. 54, Sha Ling New Village, Sheung Shui",3NW-C/C353,Soil Cut,10,Access road,-,-,-,-,-
MW99/8/154,-,DO,27/08/1999,27/08/1999,829485,837120,"Near house no. 29, Ying Pun Village, Sheung Shui",-,Soil Cut,10,Building lot,-,-,-,-,-
MW99/8/153,-,DO,24/08/1999,24/08/1999,832510,837955,"No. 8 Wah Mei Shan Tsuen, Fanling",3SW-C/C172,Soil Cut,5,Building lot,-,-,-,-,-
MW99/8/152,-,DO,24/08/1999,24/08/1999,832483,837962,"Behind house 7 Wah Mei Shan Tsuen, Fanling",3SW-C/C172,Soil Cut,1,Building lot,-,-,-,-,-
MW99/8/151,-,BD,21/08/1999,21/08/1999,831985,827187,"Squatter village above Wo Yi Hop Lane, Tsuen Wan ",7SW-A/C186,Fill Slope,1,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/15,-,ETC,23/08/1999,23/08/1999,829192,830225,Route Twisk about 300mm west of the lookout opposite lamp-post no. FA7906-9,-,Natural Hillside,10,Road,Two lanes of road temporarily closed,-,-,-,2
MW99/8/149,-,Public,23/08/1999,23/08/1999,825816,825905,Tai Lam Tunnel (Ting Kau Entrance) near Tuen Mun,6SE-C/C78,Soil Cut,10,Other (slope drainage),-,-,-,-,-
MW99/8/148,-,Public,23/08/1999,22/08/1999,816834,813760,"No. 7A Ha Tsuen Long Luk Tei Tong Village, Mui Wo, Lantau Island",10SW-C/CR100,Soil Cut,10,Other (building lot),-,-,-,-,-
MW99/8/145,-,Police,27/08/1999,-,819700,825875,"Siu Lam Chung Tsuen, Siu Lam, Tuen Mun",6SW-D/C581,Soil Cut,5,Pesestrian pavement,-,-,-,-,-
MW99/8/144,-,DO,27/08/1999,26/08/1999,823865,825197,"slope beneath the elevated rd to Phase I Sea Crest Villa, Tsuen Wan",6SE-C/C433,Rock Cut,1,Open space,-,-,-,-,-
MW99/8/143,-,DO,27/08/1999,22/08/1999,823173,824812,"Sea Crest Villa (Phase IV), Sham Tseng",6SE-C/C538,Soil Cut,1.5,Others,-,-,-,-,-
MW99/8/142,-,DO,27/08/1999,23/08/1999,828315,826229,"Near Catchwater Chainage N7050, Ha Fa Shan, Tsuen Wan",6SE-D/CR135,Soil Cut,225,Squatter,-,-,-,-,-
MW99/8/141,-,DO,27/08/1999,22/08/1999,828402,827210,"Near Catchwater Chainage N8700, Ha Fa Shan, Tsuen Wan",6SE-B/CR217,Soil Cut,650,Others,-,-,-,-,-
MW99/8/140B,-,Public,25/08/1999,25/08/1999,818275,825750,"Near no. 40 Siu Sau Tsuen, Tuen Mun",6SW-C/C677,Soil Cut,5,Pesestrian pavement,-,-,-,-,-
MW99/8/140A,-,Public,25/08/1999,25/08/1999,818280,825770,"Near no. 40 Siu Sau Tsuen, Tuen Mun",6SW-C/C674,Soil Cut,5,Pesestrian pavement,-,-,-,-,-
MW99/8/14,-,ETC,23/08/1999,23/08/1999,829408,830425,"Sea Crest Villa (Phase IV), Sham Tseng",6SE-C/C538,Soil/Rock Cut,1.5,Road,Two lanes of road temporarily closed,-,-,-,2
MW99/8/139,-,Police,25/08/1999,24/08/1999,830738,826772,Nos. 43-45 San Tsuen Village,-,Others,2,Squatter,-,-,-,-,-
MW99/8/138,-,DO,25/08/1999,24/08/1999,821190,807175,"Slope near Bellevue Garden Peak Road, Cheung Chau",-,Natural Hillside,10,Nil,-,-,-,-,-
MW99/8/137,-,FSD,26/08/1999,25/08/1999,820975,807320,"No. 82 Cung Hing Pun Shan Road, Cheung Chau",14NW-D/CR153,Retaining Wall,<50,Building lot,-,-,-,-,-
MW99/8/136,-,DO,25/08/1999,-,820821,808688,"Hillside, WSD pumping station, Tai Kwai Wan, Cheung Chau",14NW-D/DT27,Disturbed Terrain,2,Pesestrian pavement,-,-,-,-,-
MW99/8/135,-,DO,25/08/1999,-,820803,808676,"Hillside, WSD pumping station, Tai Kwai Wan, Cheung Chau",-,Natural Hillside,10,Pesestrian pavement,-,-,-,-,-
MW99/8/134,-,DO,25/08/1999,25/08/1999,821406,807458,"The junction of Peak Road and Fa Peng Road, Cheung Chau",-,Soil Cut,0.5,Nil,-,-,-,-,-
MW99/8/133,-,DO,25/08/1999,24/08/1999,821806,807485,"Near the lamp post VA7418(8), Ming Fai  Road, Cheung Chau",-,Soil Cut,1,Nil,-,-,-,-,-
MW99/8/131,-,DO,24/08/1999,24/08/1999,820790,808381,"No. 60 Pak She San Tsuen, Cheung Chau",14NW-D/C21,Soil Cut,10,Building lot,-,-,-,-,-
MW99/8/130,-,DO,24/08/1999,24/08/1999,821167,807459,"No. 193B Tai Tsoi Yuen Kui, Cheung Chau",-,Retaining Wall,Minor,Pesestrian pavement,-,-,-,-,-
MW99/8/129,-,DO,24/08/1999,24/08/1999,821206,807264,"No. 2B Lung Tsai Tsuen, Cheung Chau ",-,Fill Slope,5,Building lot,-,-,-,-,-
MW99/8/126,-,Public,24/08/1999,24/08/1999,822630,824900,"Below DD 388 98RP, Tsing Lung Tau, Off Lung Yue Road",6SE-C/FR219,Fill Slope,70,Pesestrian pavement,-,-,-,-,-
MW99/8/125,-,HyD,27/08/1999,23/08/1999,806725,810139,Keng Sham Road adjacent to Bus Terminus,13NW-B/C248,Soil/Rock Cut,5,Road,-,-,-,-,-
MW99/8/124C,-,HyD,27/08/1999,24/08/1999,807042,811107,"M.S. 10 1/2 Keng Sham Road, Lantau Island",13NW-B/C137,Soil Cut,4,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/124B,-,HyD,27/08/1999,24/08/1999,807043,811085,"M.S. 10 1/2 Keng Sham Road, Lantau Island",13NW-B/C137,Soil Cut,12,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/124A,-,HyD,27/08/1999,24/08/1999,807041,811075,"M.S. 10 1/2 Keng Sham Road, Lantau Island",13NW-B/C137,Soil Cut,14,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/123,-,HyD,27/08/1999,23/08/1999,807992,809723,"M.S. 8 3/4 South Lantau Road, Lantau Island",13NE-A/C102,Soil Cut,15,Road,-,-,-,-,-
MW99/8/122,-,HyD,27/08/1999,23/08/1999,808277,809653,"M.S. 8 1/2  South Lantau Road, Lantau Island",13NE-A/C133,Rock Cut,50,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/121,-,HyD,27/08/1999,23/08/1999,808559,809477,"M.S. 8 1/4 South Lantau Road, Lantau Island",13NE-A/C253,Soil Cut,10,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/120B,-,HyD,27/08/1999,23/08/1999,809935,809592,"Near M.S. 7 South Lantau Road, Lantau Island",13NE-A/C78,Soil Cut,5,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/120A,-,HyD,27/08/1999,23/08/1999,809964,809673,"Near M.S. 7 South Lantau Road, Lantau Island",13NE-A/C78,Soil Cut,15,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/12,-,HyD,23/08/1999,23/08/1999,826256,825700,"Castle Peak Road, Ting Kau",6SE-C/C1,Soil Cut,70,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/119,-,HyD,27/08/1999,23/08/1999,808157,809748,"M.S. 8 1/2  South Lantau Road, Lantau Island",13NE-A/C98,Soil Cut,20,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/118,-,HyD,27/08/1999,23/08/1999,810300,809805,"M.S. 7 South Lantau Road, Lantau Island",13NE-A/F59,Fill Slope,50,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/117,-,HyD,27/08/1999,23/08/1999,811840,810166,"M.S. 5 3/4 South Lantau Road, Lantau Island",13NE-B/C156,Soil Cut,8,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/116,-,HyD,27/08/1999,23/08/1999,812380,810433,"M.S. 5 1/4 South Lantau Road, Lantau Island",13NE-B/FR82,Fill Slope,40,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/115,-,FSD,27/08/1999,24/08/1999,810555,813822,Country trail from Lo Hon Monastry to Po Lam Monastry,-,Natural Hillside,500,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/114,-,HyD,26/08/1999,23/08/1999,812926,810826,"MS 5, South Lantau Road, Cheung Sha, Lantau Island",-,Fill Slope,100,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/113,-,HyD,26/08/1999,23/08/1999,813741,810701,"M.S. 4 1/2 South Lantau Road (below Cheung Sha School), Lantau Island",13NE-B/C178,Soil Cut,3,Road,-,-,-,-,-
MW99/8/112,-,HyD,26/08/1999,23/08/1999,815143,811523,"M.S. 3 South Lantau Road, Lantau Island",14NW-A/C98,Soil Cut,3,Road,-,-,-,-,-
MW99/8/111,-,Police,26/08/1999,24/08/1999,815471,811731,"38 Lo Uk Tsuen Pui O, Lantau Island",14NW-A/C93,Soil Cut,5,Building lot,-,-,-,-,-
MW99/8/110,-,HyD,26/08/1999,23/08/1999,816472,812768,"M.S. 2 South Lantau Road, Lantau Island",10SW-C/C165,Soil Cut,20,Road,-,-,-,-,-
MW99/8/11,-,ETC,23/08/1999,23/08/1999,829230,826285,"Junction of Castle Peak Road and Sha Taui Road, near Kam Fung Garden, Tsuen Wan",6SE-D/CR6,Soil Cut,100,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/109,-,HyD,26/08/1999,23/08/1999,816961,813087,"M.S. 1 South Lantau Road, Lantau Island",10SW-C/C191,Soil Cut,5,Road,-,-,-,-,-
MW99/8/108,-,DO,24/08/1999,23/08/1999,813485,810678,"no. 36 Cheung Sha Ha Village, Lantau Island",13NE-B/C138,Soil Cut,18,Building lot,-,-,-,-,-
MW99/8/107,-,FSD,24/08/1999,24/08/1999,806456,813900,Sham Wat Road chainage 28+50,9SW-D/C114;9SW-D/C115,Soil Cut,1700,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/106,-,HyD,24/08/1999,23/08/1999,816557,812972,"M.S. 1 1/2 South Lantau Road, Lantau Island",10SW-C/C199,Soil/Rock Cut,12,Pesestrian pavement,Pedestrian pavement temp closed,-,-,-,-
MW99/8/105,-,HyD,23/08/1999,23/08/1999,810202,809820,"South Lantau Road near Shui Hau, Lantau Island ",13NE-A/C76,Soil Cut,70,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/104,-,HyD,24/08/1999,24/08/1999,810459,810145,"Ma Po Ping Prison (upper one) near prison, Lantau Island",13NE-A/C86,Soil Cut,5,Road,-,-,-,-,-
MW99/8/103,-,HyD,23/08/1999,23/08/1999,810510,810160,"Ma Po Ping Prison (middle one) near prison, Lantau Island",13NE-A/C86,Soil Cut,450,Road,Two lanes of road temporarily closed,-,-,-,2
MW99/8/102,-,HyD,23/08/1999,23/08/1999,810708,810019,"Ma Po Ping Road, Lantau Island",13NE-A/C49,Soil Cut,550,Road,Two lanes of road temporarily closed,-,-,-,2
MW99/8/101,-,HyD,23/08/1999,22/08/1999,814866,811299,"South Lantau road Shan Shek Wan, Lantau Island",13NE-B/C58,Soil/Rock Cut,5,Road,One lane of road temporarily closed,-,-,-,1
MW99/8/100,-,HyD,23/08/1999,23/08/1999,812730,810680,"South Lantau road near Cheung Fuk Road, Lantau Island",13NE-B/C129,Soil Cut,150,Road,Two lanes of road temporarily closed,-,-,-,2
MW99/8/10,-,HyD,23/08/1999,23/08/1999,826705,825465,"South Lantau road Shan Shek Wan, Lantau Island",13NE-B/C58,Soil Cut,5,Open space,-,-,-,-,-
MW99/8/1,-,Police,11/08/1999,11/08/1999,806730,809670,"Wang Pui Road, Lantau Island",13NW-B/C20,Soil/Rock Cut,10,Road,-,-,-,-,-
MW99/7/1,-,TDD,09/07/1999,-,830355,826542,"Fu Yung Shan Road, Tsuen Wan",-,Others,10,Road,Pedestrian pavement temp closed,-,-,-,2
MW99/6/1,-,HyD,22/06/1999,21/06/1999,829365,830360,Route Twisk opp. to lookout (about 60 m south of lookout),6NE-D/C57,Rock Cut,0.2,Other (slope drainage),-,-,-,-,-
MW99/4/1,-,Police,12/04/1999,12/04/1999,831675,822413,"Kwai Chung Rd (below Prince Margaret Hosiptal, Government School of General Nursing & Quarters) ",11NW-A/C83,Rock Cut,1,Road,Two lanes of road temporarily closed,-,-,-,2
HK98/11/1,-,Police,30/11/1998,28/11/1998,838967,816849,60 Tanner Road ,11SE-A/C94,Soil/Rock Cut,4,Building lot ,1 flat evacuated,-,-,-,-
HK98/9/1,-,Police,17/09/1998,17/09/1998,841900,815385,"13 A Kung Ngam Road, Shau Kei Wan. (11SE-B/C87)",11SE-B/C87,Rock Cut,~1,Road; Pedestrian pavement,1 lane of road closed; pedestrian pavement closed.,-,-,-,1
HK98/7/5,-,Public,16/07/1998,-,832925,815815,"Adjacent 41 Conduit Road, opposite Lamp Post No. 39946, Mid-Levels. (11SW-A/C404)",11SW-A/C404,Soil Cut,3.5,Nil,-,-,-,-,-
HK98/7/4,-,Public,06/07/1998,06/07/1998,838591,810435,Boundary of 27-31 South Bay Road & 110 Repulse Bay Road. (15NE-A/CR376),15NE-A/CR376,Retaining Wall,6,Nursey platform,-,-,-,-,-
HK98/7/3,-,HyD,06/07/1998,05/07/1998,838440,816568,"North of Sky Scraper, 132-142 Tin Hau Temple Road, North Point. (11SE-A/CR43)",11SE-A/CR43,Rock Cut,1,Pedestrian pavement,Pedestrian pavement closed.,-,-,-,-
HK98/7/2,-,Public,03/07/1998,-,834260,814930,"Below 1 Chatham Path, Mid-Levels. (11SE-D/C837)",11SE-D/C837,Soil Cut,3,Pedestrian pavement,-,-,-,-,-
HK98/7/1,-,Police,03/07/1998,03/07/1998,831850,813320,"Near Catch Pit No. VT14 about 150m south of petrol station, Baguio Villa, Victoria Road. (11SW-C/C139)",11SW-C/C139,Soil/Rock Cut,2,Road,1 lane of road closed.,-,-,-,1
HK98/6/9,-,Police,10/06/1998,10/06/1998,831390,814690,"House No. 27 & 28, Dai Hau Wan Upper Village, Pok Fu Lam.",-,Retaining Wall,~34,Village hut; Public footpath,2 village houses temporarily evacuated; pedestrian pavement closed.,-,-,-,-
HK98/6/8,-,HyD,11/06/1998,11/06/1998,834683,814965,"Above 7C Bowen Road, Mid-Levels.",-,Natural Hillside,10,Building lot,"5 flats
evacuated; 3 car parks evacuated.",-,-,-,-
HK98/6/7,-,GEO,09/06/1998,09/06/1998,834630,815000,"West wing of 7C Bowen Road, Mid-Levels. (11SW-B/CR183)",11SW-B/CR183,Rock Cut,<0.1,Rear yard of building,-,-,-,-,-
HK98/6/6,-,GEO,09/06/1998,09/06/1998,833700,815250,"Behind Dynasty Court & Hillsboroagh Court, Hornsey Road, Mid-Levels.",-,Natural Hillside,75,Road; Pedestrian pavement; Major gullery,1 lane of road closed; Pedestrian pavement closed; Major gullery blocked,-,-,-,1
HK98/6/5,-,HyD,10/06/1998,10/06/1998,830160,815250,"Near Lamp Post No. 39670, Victoria Road. (11SW-A/C293)",11SW-A/C293,Soil/Rock Cut,~2,Pedestrian pavement,Pedestrian pavement closed.,-,-,-,-
HK98/6/4,-,GEO,09/06/1998,09/06/1998,831878,813239,"Between Catch Pit No. VT11 & VT12,Victoria Road, Pok Fu Lam. (11SW-C/C138)",11SW-C/C138,Soil/Rock Cut,60,Pedestrian pavement; Road,Pedestrian pavement closed; 2 lanes of road closed.,-,-,-,2
HK98/6/3,-,Public,09/06/1998,09/06/1998,834075,814900,"Near May Road, Peak Tram (PTC) Station, The Peak. (11SW-D/CR1562)",11SW-D/CR1562,Soil Cut,~0.5,Peak tramway,Peak tramway temporarily suspended,-,-,-,-
HK98/6/2,-,BD,09/06/1998,09/06/1998,831695,815440,Between 88 & 92 Pok Fu Lam Road. (11SW-A/C324),11SW-A/C324,Soil Cut,25,Building access; Watchman kiosk,1 watchman kiosk destroyed,-,-,-,-
HK98/6/16,-,DO,12/06/1998,10/06/1998,831425,814215,"Telegraph Bay Village, Pok Fu Lam.",-,Soil Cut,~3,Pedestrian pavement,-,-,-,-,-
HK98/6/15,-,Police,15/06/1998,15/06/1998,841525,815290,"Staircase to Cheung Fai Temple, Ngoi Man Street, Shau Kei Wan. (11SE-B/CR307)",11SE-B/CR307,Soil Cut,10,Staircase,Footpath closed,-,-,-,-
